index,datetime,nonce,previous hash,transactions
0,01-01-2023-01:30:30,89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3,0,['Genesis Block']
1,04-26-2024-15:23:02,62a50a12bba533403ba2a3f3a828ff99a736ab2d647d0292046fc1d49f57d26b,89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3,"['d3e96548fe174e04a082822bfa903b53:04-26-2024-15:23:02:Jacob:Miguel:$126:power bill', 'ed957b9fa287422080b0e2032e3f8208:04-26-2024-15:23:02:Tracy:Tonya:$27:baby sitting', 'ffcfe0526d4d4261b0de68cd355f0fba:04-26-2024-15:23:02:Amy:Rick:$268:coffee', 'd9a9ac92f3ca4bb8b075cab9d5be2fc1:04-26-2024-15:23:02:Jacob:Rick:$211:daycare', '1cb9fb7e4ad947e296ed819ab2b1ac9b:04-26-2024-15:23:02:Gary:Juan:$114:cell phone bill', '95be4075ecc44a23946ef1907545bd12:04-26-2024-15:23:02:Gary:Bob:$274:fantasy football', 'abb4fb5e9dd14f1898eb40dde46a4a13:04-26-2024-15:23:02:Miguel:Amber:$246:happy hour', 'fdc5be0bb3e045b096e862b0982b758b:04-26-2024-15:23:02:Alice:Amber:$122:water bill', '2e6cc0c733d845aa8d4dea7c9ca7a28b:04-26-2024-15:23:02:Alexis:Anthony:$310:baby sitting', '0edbeaf31ddf42e6b310d015cfe223f2:04-26-2024-15:23:02:Tracy:Jose:$305:baby sitting', '8fd24b5b208c474687726a0a476cc874:04-26-2024-15:23:02:Jacob:Tonya:$129:power bill', '51e27a96d5f94e32afd43180cbe69855:04-26-2024-15:23:02:Tamara:Kelly:$187:sushi', '5f034e7c2fc14779ad4abaa181b4c7b4:04-26-2024-15:23:02:Gary:Rick:$64:coffee', '40418c8874ae48918cd42dc167dcebc1:04-26-2024-15:23:02:Tonya:Rick:$213:cell phone bill']"
2,04-26-2024-15:23:02,027142c938b84a92ee3f005905665c4958a506e721c32fc013ec007e58c02645,62a50a12bba533403ba2a3f3a828ff99a736ab2d647d0292046fc1d49f57d26b,"['8065097d52ba4a34bbef2c4bb2ba1cb2:04-26-2024-15:23:02:Miguel:Doug:$239:food', 'bb15e35fae3d478aba55f7731caa8cb7:04-26-2024-15:23:02:Susan:Mark:$240:drinks', '39ed32eca667473fb1304c5b1e0268c8:04-26-2024-15:23:02:Alice:Mark:$29:sushi']"
3,04-26-2024-15:23:02,647c227c8a36e42692768f6f8b0be86cf4ed343bfb12fd4773afd37b3b14e946,027142c938b84a92ee3f005905665c4958a506e721c32fc013ec007e58c02645,"['95385219c7864efa9cbd226c12380e75:04-26-2024-15:23:02:Amber:Simy:$272:happy hour', '14228a8bb4f64c46b9290aaa566d4d65:04-26-2024-15:23:02:Tyson:Steve:$283:cell phone bill', '2a281ef1ec444438a589973aee815bfd:04-26-2024-15:23:02:Tonya:Juan:$220:sushi', '5be4c217b31c4c3dbdd643cc7625242d:04-26-2024-15:23:02:Amber:Alexis:$42:daycare', '4878be8d6c134b66b9849cc50437c74c:04-26-2024-15:23:02:Kelly:Hugh:$80:parking', '595cf038d9a1460cad315dc2d42fb482:04-26-2024-15:23:02:Rick:Tracy:$41:tacos', '92e321aef1af4fffad6048db2ef6c7a7:04-26-2024-15:23:02:Jerome:Bob:$171:happy hour', '31f10cf4ab7c4949a273df3721c3162a:04-26-2024-15:23:02:Miguel:Alexis:$157:drinks', 'da3b6d13593b4d328df3f727ca3166b1:04-26-2024-15:23:02:Tamara:Miguel:$92:concert tickets', '11f854af40454fa0a58244ac4a0d750a:04-26-2024-15:23:02:Alexis:Tonya:$326:pizza', '92d258b8c7b24e838df6bc3bf6558729:04-26-2024-15:23:02:Amy:Doug:$79:drinks', 'f7a142ad77c6444c8a5ae9538dba858a:04-26-2024-15:23:02:Juan:Tracy:$115:fantasy football', '66160b7ef8034dafa46244a3d284aa6d:04-26-2024-15:23:02:Simy:Anthony:$276:baby sitting', 'b0a6246bd86a45a2b0e9afa0f0cdd17b:04-26-2024-15:23:02:Rebecca:Tracy:$298:concert tickets', '27cc7aa12f5d44fc905d01a0f86a4a55:04-26-2024-15:23:02:Doug:Susan:$314:tacos']"
4,04-26-2024-15:23:02,f0c9175d99ab379453ebd2de7fde51d9028b5e4ab72177dac18893270fc8c89b,647c227c8a36e42692768f6f8b0be86cf4ed343bfb12fd4773afd37b3b14e946,"['28e9ed564f5f48c7b8432050ef0b147d:04-26-2024-15:23:02:Kelly:Juan:$37:swim lessons', '7018822fa05144e2a7ae19394a262e26:04-26-2024-15:23:02:Doug:Susan:$332:concert tickets', 'f638bc8001e14175bfac487fb25441c8:04-26-2024-15:23:02:Alice:Tamara:$188:fantasy football']"
5,04-26-2024-15:23:02,c7df577f799a1d737c490b85a7bbf976386c7d97efe346bc6e1f60b2eb07bd20,f0c9175d99ab379453ebd2de7fde51d9028b5e4ab72177dac18893270fc8c89b,"['60bef8f491cf4258b2a1f73460f64060:04-26-2024-15:23:02:Mark:Rebecca:$315:rent', '486d9af52ec14f9b83e605dad66879e4:04-26-2024-15:23:02:Gary:Jose:$127:baby sitting', '29143e1f5ab942a7b832903d28b18b17:04-26-2024-15:23:02:Bob:Simy:$302:piano lessons', '2d1e451d526d4cbbb29b6c3e729f84fd:04-26-2024-15:23:02:Tracy:Juan:$104:cell phone bill']"
6,04-26-2024-15:23:02,0eddb7b638b72fc370edfb9469a2531a7607a462e676790a5bf58832ff4f3659,c7df577f799a1d737c490b85a7bbf976386c7d97efe346bc6e1f60b2eb07bd20,"['d7e053c6a5fc44a895433695498a0353:04-26-2024-15:23:02:Alexis:Rick:$193:swim lessons', '86c0e4c477f94c39bad0650d612887dc:04-26-2024-15:23:02:Tyson:Alexis:$317:pizza', 'a31097b589fe448e8d9bdaf2f502815e:04-26-2024-15:23:02:Susan:Tyson:$47:fantasy football', '9037482029d6441d809fe906dcd8589a:04-26-2024-15:23:02:Rebecca:Jacob:$164:happy hour', '800db3e06b9d4a19bce5566a15b540e8:04-26-2024-15:23:02:Juan:Rick:$72:power bill', 'b0c28049d63045a599cae5851dff437e:04-26-2024-15:23:02:Tyson:Tracy:$153:sushi', '8f96b86a760a446a929c7bdc75ae1b02:04-26-2024-15:23:02:Tamara:Gary:$81:drinks', '3333eca547d541c9bfcda380ee427e02:04-26-2024-15:23:02:Alexis:Doug:$179:rent', 'bab10101ceb4499db446ec85ac4ca3bb:04-26-2024-15:23:02:Tyson:Jerome:$198:drinks', '5a14936a43204c5d87ba3746dd12ba32:04-26-2024-15:23:02:Steve:Hugh:$249:food', 'abc61d33244e460aa60c033ba40ed63a:04-26-2024-15:23:02:Gary:Tyson:$260:parking', '0189ff5f287746bab442d08b24a99240:04-26-2024-15:23:02:Kelly:Alexis:$117:drinks', '679b7828bfdd4b679c6139f3e8bbc748:04-26-2024-15:23:02:Kelly:Hugh:$305:dog sitting', '30a8285c9f3b4b0db16b0d2d24a7834c:04-26-2024-15:23:02:Steve:Anthony:$146:fantasy football', '52972ad2123d4df9b66c539dac176cf1:04-26-2024-15:23:02:Rick:Rebecca:$163:swim lessons', 'c3b0424e8f724af99a670bc9f3b962b8:04-26-2024-15:23:02:Jose:Tracy:$206:daycare', '212a34a0c008477c8a219e0d2d2eced2:04-26-2024-15:23:02:Kelly:Jose:$46:baby sitting', '68bf02de5c494892a4381ccc12d2404f:04-26-2024-15:23:02:Alice:Miguel:$62:food']"
7,04-26-2024-15:23:02,9ec5f30e64b08e2cca866f153a8ff93f691e92547a0ed01125c3b0f93354f2ee,0eddb7b638b72fc370edfb9469a2531a7607a462e676790a5bf58832ff4f3659,"['8c8a6c7d48d740aca79950a48cb921ad:04-26-2024-15:23:02:Rebecca:Amber:$205:pizza', '45d053244cb149d2b1c3163d183fd482:04-26-2024-15:23:02:Mark:Amber:$10:power bill', '2d24a321a9dc4dc1be5858e1f60b23e6:04-26-2024-15:23:02:Bob:Alexis:$331:sushi', '90b85beed14045c3a70594aabc0c4775:04-26-2024-15:23:02:Mark:Tamara:$262:daycare']"
8,04-26-2024-15:23:02,38b679b1bd50f9476ed23c331b54f964afbfc3a8676e2339f684fa7ef2c95e5c,9ec5f30e64b08e2cca866f153a8ff93f691e92547a0ed01125c3b0f93354f2ee,"['0f4854554ae34df3ba2fc63d69611547:04-26-2024-15:23:02:Bob:Miguel:$229:tacos', '2253568f95ac44aea82b435512cf4648:04-26-2024-15:23:02:Alexis:Jerome:$257:water bill', 'fc5a7c7483134731a690ed2f2b79253f:04-26-2024-15:23:02:Jose:Bob:$207:parking', '743799de8ec0466f8994bd0ff44b16e6:04-26-2024-15:23:02:Tamara:Jose:$263:happy hour']"
9,04-26-2024-15:23:02,f60e947bd1aa2c8131ef3de92aadd849a6bd911d0f20778204e08838b2cefc03,38b679b1bd50f9476ed23c331b54f964afbfc3a8676e2339f684fa7ef2c95e5c,"['a38fdbc73dbe419a88e366b64b637344:04-26-2024-15:23:02:Amy:Simy:$50:sushi', 'a5ecaea7e3d74746a27a55a24431c304:04-26-2024-15:23:02:Bob:Juan:$162:daycare', '9cde52b0604b4d778fe11cc0bdd8b04b:04-26-2024-15:23:02:Simy:Jacob:$232:services', '19577d49e9244ce9ad7033e897f51a62:04-26-2024-15:23:02:Simy:Miguel:$278:swim lessons', 'e8be27d7f1264c29ab0e77c376ef58bb:04-26-2024-15:23:02:Tamara:Alice:$334:pizza', 'cef78789d7ed4df9bda0a153c3b8cbb3:04-26-2024-15:23:02:Susan:Simy:$297:food', '1c54663635ba447e853b54c9ea921ddd:04-26-2024-15:23:02:Tonya:Bob:$27:cell phone bill', 'e6207005f62d4e05a58e5322b570f7c9:04-26-2024-15:23:02:Anthony:Tyson:$153:power bill']"
